;BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
253;11;BW 16;5,012458160807051;433,65099999999995;167;0,3098167688055889;610,951;251,885;73,17675362444037;5,662587203601856
254;12;BW 16;5,504247428747781;617,924972826087;184;0,33339474658012597;904,767;431,372;82,37942834144118;6,073092030792131
255;13;BW 16;6,000996546050846;838,9475296803649;219;0,3492862736012061;1249,766;613,545;100,56785794572511;6,7957460679496196
256;14;BW 16;6,50441768973148;1102,362303664921;191;0,36042585436247737;1406,71;817,767;119,95985147536449;8,679990218222438
257;15;BW 16;6,999974100422887;1442,248027210884;147;0,37832714567126363;1820,353;1047,702;149,9453450247399;12,367283616252129
258;16;BW 16;7,476472176124694;1830,9748799999986;150;0,3941931485150613;2606,986;1382,22;220,5134563021823;18,004848311928736
259;17;BW 16;8,0143363914564;2298,0766720000006;125;0,40167856940803187;2912,998;1847,729;213,9328292485441;19,134733952743993
260;18;BW 16;8,507648351850598;2756,9444670658677;167;0,4028248698488257;3375,729;2149,217;236,87149903791166;18,329666908072348
261;19;BW 16;8,980398800211075;3283,58725;148;0,407923326780051;3896,829;2781,752;229,43724273187757;18,859625177627063
262;20;BW 16;9,507776157572957;3869,3359663865554;119;0,40505728211968417;4816,792;3290,108;290,5274320125304;26,63260602713525
263;21;BW 16;9,99385627552547;4514,878384615384;104;0,4069711353906032;5296,858;3918,252;292,9394230888981;28,725073742902005
264;22;BW 16;10,511358906522087;5134,4218674698795;83;0,39776979693408554;6237,215;4361,764;344,4577519556082;37,809150241119646
265;23;BW 16;11,024059741072328;5780,284015384616;65;0,388187327464818;6333,922;5110,25;281,9227747238867;34,968216537530495
266;24;BW 16;11,51327657026517;6143,729515624999;64;0,3622030681579676;6380,262;5389,072;212,07578972764162;26,509473715955203
267;25;BW 16;11,950131736965593;6313,706714285712;63;0,3328765295484996;6382,135;5942,462;91,79131076935198;11,56461813392144
268;26;BW 16;12,532466038443493;6364,748410714287;56;0,29092998315545654;6382,716;6315,971;17,506091442463163;2,339349869972585
269;27;BW 16;12,96843753498454;6363,878166666667;42;0,2625280682225204;6384,3;6338,235;13,385922237271522;2,065492643543056
270;28;BW 16;13,513013211898134;6357,37924137931;29;0,23181330832726246;6382,648;6305,548;16,30337107484053;3,027460005168478
271;29;BW 16;14,007994828583296;6351,669466666667;15;0,20791069076060456;6371,373;6337,555;11,51215527708886;2,9724257111412657
