;Wind Speed;Rotor Speed;Active Power;T Outside Nacelle Level;Pitch Angle;Air Density
115;7,54;8,34;2015,79;8,09;0,01;1,2380919738183664
116;8,06;9,16;2678,783;7,97;0,01;1,238610859121278
117;7,46;8,05;1786,841;7,78;0,01;1,2394331841688568
118;5,66;6,56;642,944;7,81;0,57;1,2393032817200371
119;4,58;6,48;293,985;7,84;1,37;1,239173402388732
120;5,47;6,58;672,181;7,82;0,61;1,2392599860409224
121;5,61;6,53;809,54;7,55;0,11;1,2404298708093606
122;5,16;6,48;544,554;7,66;0,72;1,2399530251117623
123;6,22;6,96;1010,918;7,5;0,39;1,2406467215475776
124;6,67;7,41;1300,218;7,41;0,23;1,2410372145897002
125;3,69;6,48;92,65;7,72;1,5;1,2396930584135704
126;2,54;6,48;-35,662;7,9;1,5;1,2389137130840302
127;2,76;1,47;-19,297;7,99;39,73;1,2385243525414222
128;2,96;0,79;-7,658;7,85;45,01;1,2391301144157552
129;3,03;0,81;-7,633;7,9;45,01;1,2389137130840302
130;4,0;1,69;15,025;7,97;37,02;1,238610859121278
131;5,73;6,89;806,296;7,52;0,7;1,2405599735510298
132;5,52;6,66;601,568;7,79;0,7;1,2393898807840547
133;7,09;7,83;1665,598;7,92;0,02;1,23882717053439
134;7,81;8,96;2483,904;7,94;0,02;1,238740638261357
135;6,56;7,51;1430,523;7,99;0,02;1,2385243525414222
136;5,68;6,52;733,832;8,17;0,28;1,2377462558729964
137;6,68;7,25;1285,174;8,19;0,02;1,2376598520886168
138;7,52;8,55;2262,348;8,08;0,02;1,238135200126705
139;8,03;9,27;2768,311;7,68;0,02;1,2398663592737869
140;7,12;8,14;1850,559;7,71;0,02;1,2397363797765262
141;6,16;6,73;970,284;7,87;0,03;1,2390435461762868
142;5,07;6,48;427,511;8,06;1,12;1,238221660453008
143;4,4;6,48;274,5;8,14;1,41;1,2378758808265766
144;4,63;6,48;311,459;8,13;1,43;1,2379190942848015
145;6,75;7,38;1281,833;7,52;0,26;1,2405599735510298
146;3,27;5,14;39,278;7,64;12,0;1,2400397012210835
147;2,72;0,56;-21,153;7,92;45,01;1,23882717053439
148;2,83;0,66;-19,323;8,07;45,01;1,2381784290049336
149;3,28;0,76;-22,414;8,19;42,67;1,2376598520886168
150;5,02;6,36;366,542;8,19;1,54;1,2376598520886168
151;4,91;6,48;410,84;8,2;1,13;1,2376166540519569
152;4,71;6,48;350,165;8,17;1,41;1,2377462558729964
153;4,69;6,48;338,365;8,17;1,37;1,2377462558729964
154;4,62;6,48;323,453;8,21;1,36;1,237573458585706
155;4,46;6,48;271,831;8,18;1,5;1,2377030526956438
156;4,41;6,48;315,538;8,19;1,41;1,2376598520886168
157;4,02;6,48;179,074;8,19;1,51;1,2376598520886168
158;4,18;6,48;216,681;8,2;1,51;1,2376166540519569
159;4,57;6,48;358,597;8,17;1,11;1,2377462558729964
160;4,3;6,48;223,083;8,17;1,49;1,2377462558729964
161;3,79;6,48;50,716;8,27;1,51;1,2373143397691322
162;4,05;6,48;115,485;8,18;1,51;1,2377030526956438
163;3,62;6,48;63,075;8,15;1,51;1,2378326699385056
164;3,17;6,48;16,075;8,14;1,51;1,2378758808265766
