;Identifier;Wind Speed;Rotor Speed;Active Power;T Outside Nacelle Level;Pitch Angle;Air Density;Corrected Wind Speed;Power Coefficient;Lower Limit Filter;Bin;Active Power Filter
2437;BW 05;5,15;6,48;509,807;4,4;0,8;1,253821842401842;5,190077105227492;0,3280962105203738;True;11,0;
2438;BW 06;4,84;6,48;413,534;3,33;1,13;1,258806112256919;4,884119482435762;0,3193517002505693;True;11,0;
2439;BW 05;4,89;6,47;400,524;4,4;1,13;1,253821842401842;4,928053795060666;0,30110576771396314;True;11,0;
2440;BW 05;4,85;6,48;397,256;4,52;1,23;1,2532646931722993;4,887018435648465;0,3062353932611246;True;11,0;
2441;BW 05;4,96;6,48;489,939;4,54;0,89;1,2531718704949488;4,997734637697664;0,35313379569341347;True;11,0;
2442;BW 06;4,89;6,48;422,951;4,1;1,08;1,2552163214397511;4,9298800836636385;0,31761268518160257;True;11,0;
2443;BW 05;4,88;6,47;344,093;4,48;1,08;1,2534503689541268;4,9174902397786715;0,26035274897524735;True;11,0;
2444;BW 05;5,15;6,48;455,739;4,87;1,0;1,2516417547219258;5,187067271078285;0,2938105617803867;True;11,0;
2445;BW 05;4,92;6,48;415,413;7,94;1,09;1,2375340485782051;4,936723369160517;0,3106565799736024;True;11,0;
2446;BW 05;5,03;6,48;410,117;4,13;1,0;1,2550767698849452;5,070833910288681;0,2830000184037648;True;11,0;
2447;BW 06;4,94;6,48;433,825;4,18;0,96;1,2548442352600426;4,979795701422508;0,31607987667380616;True;11,0;
2448;BW 06;5,04;6,48;469,635;4,1;0,9;1,2552163214397511;5,081103399113443;0,3221092577240275;True;11,0;
2449;BW 07;5,17;6,49;521,83;2,99;0,79;1,2603961511013604;5,219323345793253;0,3302199322043769;True;11,0;
2450;BW 05;5,15;6,47;486,657;7,7;0,84;1,2386289615489074;5,169028693412991;0,31703922334187334;True;11,0;
2451;BW 07;4,75;6,48;402,043;3,24;1,19;1,2592267081329702;4,7938328696279005;0,3283527727778604;True;11,0;
2452;BW 05;5,14;6,48;470,678;7,71;0,94;1,238583314105659;5,158928368593678;0,308434006852079;True;11,0;
2453;BW 09;5,02;6,48;411,512;3,95;1,11;1,2559144262899875;5,0618783523814885;0,2854724761007483;True;11,0;
2454;BW 07;4,96;6,47;376,737;3,45;1,05;1,2582456486591242;5,004470412821365;0,27044611485816067;True;11,0;
2455;BW 06;4,84;6,48;366,586;3,82;1,12;1,2565199198588692;4,88116091099812;0,28361118252545636;True;11,0;
2456;BW 06;5,15;6,48;426,027;3,74;0,96;1,2568927486940213;5,1943108927837205;0,2735080760334137;True;11,0;
2457;BW 06;4,98;6,47;447,798;3,8;0,98;1,256613111515394;5,022475676166022;0,31801343865706494;True;11,0;
2458;BW 06;5,1;6,48;428,922;3,88;1,13;1,2562404070121094;5,142990625009802;0,28369257814335247;True;11,0;
2459;BW 06;4,93;6,48;399,017;4,24;1,09;1,254565278235121;4,969346853337595;0,29255688011702147;True;11,0;
2460;BW 09;5,13;6,47;500,078;4,17;0,89;1,2548907370586702;5,171390183903489;0,3253364163288095;True;11,0;
2461;BW 09;4,98;6,47;465,915;4,09;0,92;1,2552628437593218;5,02067609882308;0,3312355405354195;True;11,0;
2462;BW 06;5,13;6,47;546,392;3,51;0,74;1,2579655583058948;5,175610506376194;0,35459811637219124;True;11,0;
2463;BW 09;5,2;6,48;538,134;4,22;0,75;1,254658253673977;5,241631230816958;0,3362078827971631;True;11,0;
2464;BW 07;5,14;6,48;452,065;3,73;0,98;1,2569393639706896;5,184288941769526;0,2919107832438096;True;11,0;
2465;BW 07;4,8;6,48;378,636;3,75;1,14;1,2568461360129861;4,84123962457122;0,3002403208226705;True;11,0;
2466;BW 06;5,02;6,47;425,548;4,11;1,06;1,2551698016880155;5,060877768203606;0,29538460634624647;True;11,0;
