;Wind Speed;Rotor Speed;Active Power;T Outside Nacelle Level;Pitch Angle;Air Density;Corrected Wind Speed
151;4,91;6,48;410,84;8,2;1,13;1,2363493571675466;4,925116769978332
152;4,71;6,48;350,165;8,17;1,41;1,2364859750786346;4,724675029976684
153;4,69;6,48;338,365;8,17;1,37;1,2364859750786346;4,704612715624342
154;4,62;6,48;323,453;8,21;1,36;1,2363038223265186;4,634167032491752
155;4,46;6,48;271,831;8,18;1,5;1,2364404335427315;4,4738411732473065
156;4,41;6,48;315,538;8,19;1,41;1,2363948942393268;4,423631692924595
157;4,02;6,48;179,074;8,19;1,51;1,2363948942393268;4,032426169060515
158;4,18;6,48;216,681;8,2;1,51;1,2363493571675466;4,192869266498865
159;4,57;6,48;358,597;8,17;1,11;1,2364859750786346;4,584238829510286
160;4,3;6,48;223,083;8,17;1,49;1,2364859750786346;4,31339758575366
161;3,79;6,48;50,716;8,27;1,51;1,2360306600771815;3,801341861957211
162;4,05;6,48;115,485;8,18;1,51;1,2364404335427315;4,0625687783972175
163;3,62;6,48;63,075;8,15;1,51;1,2365770648514276;3,631368065586202
164;3,17;6,48;16,075;8,14;1,51;1,2366226130900622;3,1799939514052618
165;2,55;1,92;-22,125;8,26;35,86;1,2360761815520593;2,557662465811814
166;2,54;0,57;-7,726;8,19;45,01;1,2363948942393268;2,547851360550674
167;5,11;2,44;66,896;7,93;31,52;1,2375796439553146;5,127432160031964
168;4,27;6,47;199,936;7,74;1,36;1,2384463854118541;4,285566601082756
169;2,69;2,68;-24,208;7,84;28,89;1,2379901038939365;2,699474989628769
170;2,66;0,04;-9,914;7,83;45,01;1,2380357218523785;2,6694021075290326
171;2,93;0,49;-10,048;7,86;45,01;1,2378988747622603;2,9402481147213386
172;3,42;2,19;-2,796;7,82;30,37;1,2380813420737085;3,432130579645154
173;3,98;6,48;160,438;7,83;1,46;1,2380357218523785;3,9940678150246427
174;5,1;6,48;500,384;7,68;0,89;1,238720263258536;5,118969718985623
175;5,24;6,47;467,631;7,66;0,97;1,238811574071404;5,259619685586517
176;5,04;6,48;452,419;7,67;1,03;1,2387659175266352;5,058808693437089
177;4,91;6,48;458,352;7,7;1,05;1,2386289615489074;4,928141919351026
178;4,67;6,48;346,395;7,74;1,36;1,2384463854118541;4,6870248306923825
179;5,69;6,53;694,483;7,64;0,39;1,2389028939943858;5,711444916499495
