Datum (Anlage);Zeit (Anlage);Wind Speed (avg);Rotor Speed [rpm] (avg);Active Power (avg);Nacelle Position (avg);Wind Direction (avg);Generator Speed [rpm] (avg);T Outside Nacelle Level (avg);Pitch Angle 1 (avg)
02.01.21;06:30:00;5,08;6,48;493,825;32;39,76;748,23;7,45;0,90
02.01.21;06:40:00;6,24;6,61;903,314;32;40,63;763,90;7,28;0,05
02.01.21;06:50:00;5,96;6,54;756,361;44;66,66;755,10;7,27;0,16
02.01.21;07:00:00;5,22;6,48;577,018;58;49,78;748,40;7,21;0,62
02.01.21;07:10:00;5,50;6,52;708,789;58;51,33;753,15;7,15;0,35
02.01.21;07:20:00;5,37;6,49;650,161;47;34,14;749,48;7,18;0,45
02.01.21;07:30:00;5,04;6,48;513,895;39;46,95;748,67;7,19;0,84
02.01.21;07:40:00;4,89;6,48;441,989;39;55,13;748,15;7,13;1,04
02.01.21;07:50:00;4,57;6,48;337,450;44;46,02;748,05;7,17;1,38
02.01.21;08:00:00;4,55;6,48;358,443;44;46,13;749,15;7,15;1,12
02.01.21;08:10:00;5,30;6,49;627,444;44;41,00;750,20;7,18;0,52
02.01.21;08:20:00;5,01;6,48;394,969;49;56,66;748,40;7,18;1,16
02.01.21;08:30:00;4,49;6,47;290,747;49;57,28;747,98;7,16;1,34
02.01.21;08:40:00;4,18;6,48;232,116;51;62,61;748,28;7,21;1,49
02.01.21;08:50:00;4,61;6,48;331,636;56;53,51;748,18;7,16;1,35
02.01.21;09:00:00;4,32;6,49;349,381;56;59,29;749,78;7,25;0,99
02.01.21;09:10:00;5,67;6,48;657,596;56;58,34;748,43;7,10;0,35
02.01.21;09:20:00;5,14;6,48;479,308;56;61,86;748,14;7,09;0,95
02.01.21;09:30:00;4,25;6,48;243,779;57;70,75;748,02;7,14;1,47
02.01.21;09:40:00;3,65;6,48;99,207;61;57,73;748,14;7,15;1,51
02.01.21;09:50:00;3,30;6,48;34,605;61;59,98;748,17;7,19;1,51
02.01.21;10:00:00;3,45;6,48;95,404;61;55,32;748,49;7,17;1,50
02.01.21;10:10:00;3,50;6,48;88,963;61;63,06;748,08;7,24;1,51
02.01.21;10:20:00;3,41;6,48;63,059;61;67,78;748,06;7,50;1,51
02.01.21;10:30:00;3,74;6,48;112,201;58;54,38;748,46;7,23;1,52
02.01.21;10:40:00;3,58;6,48;65,137;55;59,70;748,19;7,59;1,52
02.01.21;10:50:00;3,82;6,48;110,713;55;61,53;748,27;7,66;1,52
02.01.21;11:00:00;4,16;6,48;178,796;55;61,39;748,09;7,43;1,52
02.01.21;11:10:00;3,96;6,48;137,861;55;64,65;748,32;7,79;1,52
02.01.21;11:20:00;3,95;6,48;146,672;55;61,66;748,22;7,76;1,52
02.01.21;11:30:00;3,86;6,48;155,469;57;65,68;748,07;8,00;1,52
02.01.21;11:40:00;4,42;6,48;273,839;63;60,39;748,34;7,96;1,45
02.01.21;11:50:00;4,50;6,48;293,377;63;53,05;748,43;7,97;1,37
02.01.21;12:00:00;4,83;6,48;413,056;63;58,64;748,00;7,52;1,16
02.01.21;12:10:00;4,53;6,48;250,386;57;39,13;748,30;7,73;1,44
02.01.21;12:20:00;4,43;6,48;280,999;49;41,98;748,00;7,55;1,49
02.01.21;12:30:00;4,15;6,48;206,967;49;44,23;748,20;7,10;1,50
02.01.21;12:40:00;3,94;6,48;149,789;49;36,85;748,16;6,85;1,51
02.01.21;12:50:00;3,38;6,48;53,629;49;42,19;748,10;6,76;1,51
02.01.21;13:00:00;4,03;6,48;152,528;46;44,03;748,39;6,71;1,51
02.01.21;13:10:00;4,38;6,48;246,951;53;67,05;748,22;6,62;1,42
02.01.21;13:20:00;4,61;6,48;322,945;68;86,07;748,04;6,40;1,44
02.01.21;13:30:00;4,82;6,48;437,571;80;69,91;748,50;6,26;1,12
02.01.21;13:40:00;4,51;6,48;262,811;71;55,54;747,98;6,21;1,43
02.01.21;13:50:00;4,39;6,48;271,452;61;73,33;748,14;6,12;1,38
02.01.21;14:00:00;3,94;6,47;132,506;69;69,10;747,82;6,08;1,51
02.01.21;14:10:00;3,56;6,48;31,523;69;73,80;748,33;6,20;1,51
02.01.21;14:20:00;3,88;6,48;81,793;68;59,32;748,03;6,16;1,51
02.01.21;14:30:00;3,80;6,48;81,219;74;85,45;748,19;6,04;1,51
02.01.21;14:40:00;4,42;6,48;278,575;81;77,44;748,40;5,88;1,28
02.01.21;14:50:00;4,11;6,48;213,682;79;69,11;748,09;5,77;1,47
02.01.21;15:00:00;3,16;5,45;17,684;82;91,80;626,90;5,80;9,75
02.01.21;15:10:00;3,03;0,64;-20,309;84;60,62;76,37;6,02;44,46
02.01.21;15:20:00;3,61;5,91;62,342;73;70,26;684,06;6,00;3,62
02.01.21;15:30:00;4,71;6,48;334,546;75;77,13;748,38;6,02;1,17
02.01.21;15:40:00;4,78;6,48;364,633;74;65,83;748,53;5,94;1,29
02.01.21;15:50:00;5,11;6,47;500,686;67;67,54;748,04;5,76;0,85
02.01.21;16:00:00;4,04;6,48;191,741;78;79,40;748,18;5,94;1,46
02.01.21;16:10:00;4,29;6,47;241,165;71;63,54;747,98;5,95;1,37
02.01.21;16:20:00;4,42;6,48;274,119;71;82,30;748,23;5,98;1,35
02.01.21;16:30:00;4,17;6,48;208,213;80;72,83;748,40;5,97;1,46
02.01.21;16:40:00;3,77;6,48;103,394;80;69,46;748,23;5,97;1,49
